Num params:  62437601
cuda 68
Epoch 306 2024-05-09 18:38:30.592281 | step 000 Loss: 0.06083385646343231 
Epoch 307 2024-05-09 18:38:56.409197 | step 000 Loss: 0.06017083674669266 
Epoch 308 2024-05-09 18:39:22.220478 | step 000 Loss: 0.06354334205389023 
Epoch 309 2024-05-09 18:39:48.028467 | step 000 Loss: 0.06080018728971481 
Epoch 310 2024-05-09 18:40:13.834340 | step 000 Loss: 0.061742108315229416 
Epoch 311 2024-05-09 18:40:39.642365 | step 000 Loss: 0.06222696229815483 
Epoch 312 2024-05-09 18:41:05.447879 | step 000 Loss: 0.06117217242717743 
Epoch 313 2024-05-09 18:41:31.256277 | step 000 Loss: 0.06169813871383667 
Epoch 314 2024-05-09 18:41:57.063869 | step 000 Loss: 0.058955296874046326 
Epoch 315 2024-05-09 18:42:22.876400 | step 000 Loss: 0.06255580484867096 
Epoch 316 2024-05-09 18:42:48.689727 | step 000 Loss: 0.06013701111078262 
Epoch 317 2024-05-09 18:43:14.507506 | step 000 Loss: 0.06277813762426376 
Epoch 318 2024-05-09 18:43:40.323546 | step 000 Loss: 0.06102200224995613 
Epoch 319 2024-05-09 18:44:06.140564 | step 000 Loss: 0.06173557788133621 
Epoch 320 2024-05-09 18:44:31.959684 | step 000 Loss: 0.06031135469675064 
Epoch 321 2024-05-09 18:44:57.778994 | step 000 Loss: 0.05902154743671417 
Epoch 322 2024-05-09 18:45:23.594531 | step 000 Loss: 0.06345675140619278 
Epoch 323 2024-05-09 18:45:49.413081 | step 000 Loss: 0.06011306494474411 
